fioriId;RoleName;AppName;ApplicationType;App Launcher Title - Subtitle;Lighthouse;UITechnology;PrimaryODataServiceName;PrimaryODataServiceVersion;AdditionalODataServices;AdditionalODataServicesVersions;Link;Column1
F2152;Trade Classification Specialist;Reclassify Products - Commodity Codes;Transactional;Reclassify Products - Commodity Codes;;SAP Fiori (SAPUI5);SLL_PROD_CMDTYCD_RECLASSIFY;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2152;
F2155;Trade Classification Specialist;Reclassify Products - Intrastat Service Codes;Transactional;Reclassify Products - Intrastat Service Codes;;SAP Fiori (SAPUI5);SLL_PROD_ISSRVCCD_RECLASSIFY;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2155;
F2156;Trade Classification Specialist;Classify Products - Intrastat Service Codes;Transactional;Classify Products - Intrastat Service Codes;;SAP Fiori (SAPUI5);SLL_PROD_ISSRVCCD_CLASSIFY;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2156;
F2157;Compliance Manager (Assurance and Compliance Software);Manage Term Mappings;Transactional;;;SAP Fiori (SAPUI5);FRA_TERM_MAPPING_LIST_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2157;
F2158;Order Fulfillment Manager;Configure BOP Segment;Transactional;Configure BOP Segment;;SAP Fiori (SAPUI5);ATP_BOP_SEGMENT_SETUP;1;UI_ATPSELECTOPTIONTOOL;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2158;
F2159;Order Fulfillment Manager;Monitor BOP Run;Transactional;Monitor BOP Run;;SAP Fiori (SAPUI5);ATP_MONITOR_BOP_RUN;1;APL_LOG_MANAGEMENT_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2159;
F2160;Order Fulfillment Manager;Configure BOP Variant;Transactional;Configure BOP Variant;;SAP Fiori (SAPUI5);ATP_BOP_VARIANT_SETUP;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2160;
F2161;Hazardous Materials Manager;Chemical Risks - Detailed Analysis;Analytical;;;SAP Fiori: Analysis Path Framework (APF);C_CHEMICALRISKREPORTQ_CDS;1;C_CHEMICALATTRIBUTESQ_CDS, C_CHEMICALDETAILSQ_CDS, BSANLY_APF_RUNTIME_SRV, EHFND_CHEMICAL_DETAILS_SRV;0001, 0001, 0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2161;
F2162;Credit Controller;Display Credit Management Log;Transactional;Display Credit Management Log;;SAP Fiori: Generic Application Log Framework;APL_LOG_MANAGEMENT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2162;
F2163;Budget Responsible - Funds Management;My Budget Overview;Analytical;;Yes;SAP Fiori: SAP Smart Business generic drill down app;C_MYFMANNUALAVLBLEBUDGET_SRV;1;/SSB/SMART_BUSINESS_RUNTIME_SRV, C_MYFMANNUALBDGTDRILLBDGT_SRV, C_MYFMANNUALBDGTDRILLPOST_SRV;0001, 0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2163;
F2164;Budget Responsible - Funds Management;My Budget Alerts;Analytical;;Yes;SAP Fiori: SAP Smart Business generic drill down app;C_MYFMANNUALBUDGETALERT_SRV;1;/SSB/SMART_BUSINESS_RUNTIME_SRV, C_MYFMANNUALALERTDRILLBDGT_SRV, C_MYFMANNUALALERTDRILLPOST_SRV;0001, 0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2164;
F2165;Project Team Member;Checklist Item Object Page;Transactional;My Checklist Item - My Checklist Item;;SAP Fiori elements;PPM_PRO_OP_MY_CHECKLIST_ITEM_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2165;
F2166;Project Team Member;My Checklist Items;Transactional;My Checklist Items;;SAP Fiori elements;PPM_PRO_MY_CHECKLISTITEM_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2166;
F2168;Service Station Operator (Oil & Gas);Report Competitor Prices;Transactional;;;SAP Fiori (SAPUI5);/ICO/RN_ODS_RFP_COMPPRICE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2168;
F2170;Analytics Specialist;View Browser;Transactional;View Browser - Browse Views;;SAP Fiori (SAPUI5);CDSALLVIEWS;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2170;
F2171;Production Planner;Excess Component Consumption;Analytical;;;SAP Fiori: SAP Smart Business generic drill down app;C_MFGORDCOMPEXCSCONSMPTQRY_CDS;1;/SSB/SMART_BUSINESS_RUNTIME_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2171;
F2172;Production Planner;Production Execution Duration;Analytical;;;SAP Fiori: SAP Smart Business generic drill down app;C_MFGORDEROPEXECDURNQRY_CDS;1;/SSB/SMART_BUSINESS_RUNTIME_SRV;0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2172;
F2173;Maintenance Technician;Find Maintenance Order and Operation;Transactional;Find Maintenance Orders and Operations, Find Maintenance Orders and Operations - Dispatching;;SAP Fiori elements;EAM_OBJPG_MAINTORDANDOPER_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2173;
F2174;Maintenance Technician;Find Maintenance Order Confirmation;Transactional;Find Maintenance Order Confirmation;;SAP Fiori elements;EAM_OBJPG_ORDERCONFIRMATION_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2174;
F2175;Maintenance Technician;Find Maintenance Order;Transactional;Find Maintenance Orders, Find Maintenance Orders - Completion, Find Maintenance Orders - Scheduling;;SAP Fiori elements;EAM_OBJPG_MAINTENANCEORDER_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2175;
F2176;Production Planner;Production Scheduling Board;Transactional;Production Scheduling Board;;SAP Fiori (SAPUI5);PPDS_RES_SCHEDULE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2176;
F2179;Purchaser;Manage Scheduling Agreement;Transactional;Manage Purchase Scheduling Agreements;;SAP Fiori elements;MM_PUR_SCHEDG_AGRMT_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2179;
F2180;Quality Technician;Inspection Lot (S/4HANA);Transactional;;;SAP Fiori (SAPUI5);QM_INSPLOT_OBJECTPAGE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2180;
F2181;Quality Technician;Inspection Operation (S/4HANA);Fact sheet;;;SAP Fiori (SAPUI5);QM_INSPOPERATION_OBJECTPAGE_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2181;
F2182;Project Manager (Commercial Project Management);Single-Project Overview;Analytical, Fact sheet;;;SAP Fiori elements;CPD_MASTERPROJECT_OVERVIEW_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2182;
F2185;Meter Data Specialist (Utilities);Resolve Implausible Meter Readings;Transactional, Analytical;Resolve Implausible Meter Readings;;SAP Fiori elements;ISU_MR_IMPL_RESOLVE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2185;
F2186;Billing Specialist (Utilities);Resolve Outsorted Billing Documents;Transactional, Analytical;Resolve Outsorted Billing Documents;;SAP Fiori elements;ISU_BI_OUTSRTD_RESOLVE;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2186;
F2187;Internal Sales Representative;Customer - 360° View;Fact sheet;;;SAP Fiori elements;SD_F2187_CUST360_SRV;1;SD_SO_PROCFLOW_SRV, SD_CMR_PROCFLOW_SRV, SD_DMR_PROCFLOW_SRV, SD_CRT_PROCFLOW_SRV, SD_BILLINGDOC_PROCFLOW_SRV, SD_QTAN_PROCFLOW_SRV;0001, 0001, 0001, 0001, 0001, 0001;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2187;
F2187A;Internal Sales Representative;Customer 360° View - Version 2;Analytical;Customer - 360° View - Version 2;;SAP Fiori elements;;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2187A;
F2189;Other;Classification;Reuse Component;;;SAP Fiori (SAPUI5);;;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2189;
F2190;Business Process Specialist;Manage Workflows;Transactional;;Yes;SAP Fiori (SAPUI5);SWF_FLEX_DEF_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2190;
F2191;Strategic Buyer;Display Scorecards;Transactional;Display Scorecards - Evaluation Questionnaires;;SAP Fiori elements;C_SUPLREVALSCORECARDDISPLAY_SRV;1;;;https://fioriappslibrary.hana.ondemand.com/sap/fix/externalViewer/?appId=F2191;
